"","USOXcod","USOX.","Species","Year.x","Date","Location.x","Delta.13C","C.Amount..ug.","Delta.15N","N.Amount..ug.","Delta.S","label1","dC_Ala","dC_Val","dC_Gly","dC_Ile","dC_Leu","dC_Pro","dC_Asp","dC_Phe","dC_Glu","dC_Lys","dN_Ala","dN_Asp","dN_Glu","dN_Gly","dN_Ile","dN_Leu","dN_Lys","dN_Phe","dN_Pro","dN_Val","Essential","Non.essential","XXX","SPCODE","code2","d18O","d13C","d15N","C.N","d34S","AASIA","VVV","code1","d13Ccor","Year","decade","labSPgeo"
"16","a06373","6373","PECO","1970",NA,"Mandarte Island",-15.82,619.54,14.71,94.65,15.37,2,-10.951,-12.068,2.191,-8.955,-18.344,-4.918,-6.488,-18.826,-12.391,-11.321,22.44,18.157,22.1659004,19.585,21.263,21.009,6.543,7.599,27.828,24.267,-14.54825,2.191,22.08458008,"PECO06373","PE",NA,-15.820138,14.71008268,6.545441194,15.37120982,14.5669004,NA,"a06373",-14.3072552735613,1970,"1970-1989","PECO"
"18","a06388","6388","PECO","1970","7-Aug-70","Mitlenatch Island",-16.22,591.08,14.81,89.68,16.34,1,-12.195,-12.516,2.971,-10.705,-18.47,-5.49,-7.788,-19.776,-13.681,-9.027,21.421,20.244,23.8489934,17.797,23.022,22.805,7.196,8.256,28.886,25.926,-15.36675,2.971,23.76119868,"PECO6388","PE",NA,-16.22164057,14.80941588,6.591243544,16.33895082,15.5929934,7.083415883,"a06388",-14.6852811317391,1970,"1970-1989","PECO"
"23","a07804","K02-07804","RHAU","2002","9-May-02","Pine Island",-21.94,634.14,12.9,75.99,17.2,93,-14.197,-17.669,-3.063,-13.393,-24.599,-7.935,-10.922,-23.792,-19.042,-15.665,22.468,15.976,27.569,15.446,21.675,20.82,6.117,5.497,31.218,24.229,-19.86325,-3.063,23.4516,"ra07804","ra",NA,-21.93627885,12.90017446,8.345446691,17.19733143,22.072,7.093174463,"a07804",-19.6551418883718,2002,"1990-2006","RHAU.M"
"24","a07805","K02-07805","RHAU","2002","9-May-02","Pine Island",-21.88,565.27,12.14,67.48,16.91,95,-17.953,-19.745,-7.565,-13.774,-26.227,-11,-15.067,-23.872,-17.592,-16.577,21.93,15.761,25.61,14.6,21.362,20.686,6.665,5.919,30.887,23.463,-20.9045,-7.565,22.8612,"ra07805","ra",NA,-21.87854725,12.139883,8.376827471,16.90623489,19.691,NA,"a07805",-19.5830480807528,2002,"1990-2006","RHAU.M"
"27","a07808","K02-07808","RHAU","2002","9-May-02","Pine Island",-20.94,558.11,12.84,64.06,17.3,94,-16.517,-17.205,-6.323,-10.415,-24.291,-8.943,-14.486,-22.542,-16.17,-15.981,23.018,17.267,24.123,16.335,23.486,23.31,8.488,6.023,30.945,26.794,-18.61325,-6.323,23.8262,"ra07808","ra",NA,-20.94446518,12.83779265,8.71172913,17.29782535,18.1,5.582292649,"a07808",-18.5182273932118,2002,"1990-2006","RHAU.M"
"49","a07840","K02-07840","LSPE","2002","24-Jun-02","Cleland Island",-24.53,550.6,13.56,66.64,18.9349,57,-20.418,-24.433,-10.751,-18.199,-28.067,-13.606,-14.587,-29.145,-20.936,-17.278,22.285,21.174,25.45985626,15.32,22.831,25.368,6.589,7.022,33.944,27.229,-24.961,-10.751,25.75537125,"ls07840","ls",14.38778531,-24.52702797,13.55908532,8.261965703,18.93488935,18.43785626,6.753585322,"a07840",-22.2768190794192,2002,"1990-2006","LSPE.S"
"58","a07849","K02-07849","LSPE","2002","24-Jun-02","Cleland Island",-24.04,589.34,13.93,73.48,18.6877,56,-20.65,-23.429,-7.067,-17.574,-27.068,-11.677,-13.875,-26.991,-19.894,-18.432,25.427,21.45,24.681,13.347,22.714,25.546,7.043,7.389,33.838,26.386,-23.7655,-7.067,25.6458,"ls07849","ls",14.18973464,-24.03848853,13.92570898,8.019971024,18.68774258,17.292,6.709708984,"a07849",-21.8812796353332,2002,"1990-2006","LSPE.S"
"109","a15663","K06-15663","DCCO","2006","7-Jul-06","Mandarte Island",-15.92,600.94,15.73,80.53,15.19,21,-9.328,-11.572,1.863,-5.872,-18.096,-5.562,-5.415,-18.814,-16.196,-7.892,22.831,22.992,23.649,13.432,23.279,23.329,8.506,9.256,27.79,26.288,-13.5885,1.863,24.2078,"DC15663","DC",NA,-15.91981889,15.73017724,7.461973361,15.19127692,14.393,6.849177243,"a15663",-13.990566612743,2006,"1990-2006","DCCO"
"114","a15668","K06-15668","DCCO","2006","7-Jul-06","Mandarte Island",-15.34,614.34,15.17,77.9,10.74,22,-8.828,-11.754,0.435,-6.007,-17.758,-4.2,-7.458,-17.791,-12.303,-9.546,23.011,22.745,23.998,12.381,22.962,23.955,7.102,8.187,27.339,25.819,-13.3275,0.435,24.1998,"DC15668","DC",NA,-15.34425511,15.16687442,7.886171271,10.73589659,15.811,7.522374418,"a15668",-13.2349018226073,2006,"1990-2006","DCCO"
"117","a15671","K06-15671","DCCO","2006","7-Jul-06","Mandarte Island",-13.74,505.02,14.9,74.73,7.2,23,-8.672,-10.165,4.157,-4.643,-16.174,-3.293,-7.391,-16.798,-13.656,-7.753,23.356,22.245,26.407,14.914,22.913,22.797,7.264,6.728,25.76,26.088,-11.945,4.157,24.0244,"DC15671","DC",NA,-13.73684188,14.89891537,6.757674883,7.199943037,19.679,7.902915368,"a15671",-12.1257644823793,2006,"1990-2006","DCCO"
